,Value
0,0.367879441171
1,0.430848140538
2,0.462386763896
3,3.49390220054
4,2.52538671087
5,4.55683256294
6,6.58823203435
7,0.61957741417
8,0.650861004812
9,0.682075123962
10,0.713212106458
11,3.74426430619
12,3.77522409796
13,0.806083879421
14,0.836836072886
15,0.867473127242
16,3.8979875198
17,0.928371758134
18,0.958618381974
19,0.988719964999
20,2.01866911669
21,1.04845848417
22,1.07808075398
23,1.10752865391
24,1.1367949548
25,1.16587247229
26,1.19475406864
27,3.22343265444
28,1.25190119041
29,3.28015268908
30,1.30818021657
31,1.33597689428
32,3.36353590056
33,1.39085047244
34,1.41791390725
35,1.44471956433
36,2.4712608666
37,1.49753130226
38,1.52352442634
39,1.54923386229
40,1.5746533036
41,2.5997765153
42,1.62459733555
43,1.64910967712
44,5.67330752891
45,1.69718495742
46,4.72073610825
47,1.74395520751
48,1.76683656322
49,-1.21062543319
50,1.81156369438
51,-1.16660149184
52,6.85487365782
53,1.87598388176
54,1.89672400846
55,1.91708895772
56,1.93707374193
57,2.95667346727
58,1.97588333499
59,1.99469864249
60,2.01311478459
61,2.03112725458
62,2.04873164537
63,2.06592365058
64,2.08269906559
65,2.09905378858
66,-1.88501617844
67,5.13048527131
68,2.14555435039
69,4.16018737807
70,2.17438078121
71,2.18813109514
72,2.20143496456
73,4.21428914432
74,5.22669050023
75,2.23863600988
76,6.25012276331
77,6.26114796378
78,0.271708928453
79,2.28180308904
80,2.29142799245
81,2.30058130138
82,2.30926079492
83,2.31746436906
84,6.32519003724
85,4.33243593085
86,2.33920029963
87,2.34548151218
88,-0.648721943691
89,4.35658853944
90,2.36141168893
91,2.36574635239
92,2.36959149797
93,2.37294621464
94,2.37580971236
95,8.37818132234
96,2.38006049712
97,2.38144681082
98,2.38233995912
99,2.38273975945
100,2.38264615094
101,0.382059194496
102,2.38097907277
103,2.37940609009
104,2.37734067242
105,-1.62521663275
106,2.37173484343
107,2.36819589103
108,2.36416742115
109,2.35965046568
110,6.35464617706
111,6.34915582798
112,2.34318081106
113,2.33672263856
114,2.32978294192
115,2.32236347143
116,2.31446609576
117,2.30609280154
118,3.2972456928
119,0.287926990512
120,9.27813903203
121,2.26788427049
122,2.25716527423
123,2.24598472614
124,-0.765654576997
125,0.222250274822
126,2.20970230408
127,2.196704645
128,2.18326054277
129,2.16937335276
130,2.15504653968
131,2.1402836767
132,2.12508844464
133,2.10946463097
134,5.09341612894
135,2.07694693661
136,4.06006115584
137,2.04276299131
138,2.02505674944
